"order_id","order_date","order_total","user_type","product_id","variation_id","quantity","coupon","meta.yarn_usage"
"22056",2021-02-25,337.72,"registered customer","20506","21495",1,NA,NA
"22056",2021-02-25,337.72,"registered customer","20525","20532",1,NA,NA
"22056",2021-02-25,337.72,"registered customer","21000","21002",1,NA,NA
"22056",2021-02-25,337.72,"registered customer","21000","21003",1,NA,NA
"22056",2021-02-25,337.72,"registered customer","21000","21782",1,NA,NA
"22056",2021-02-25,337.72,"registered customer","21000","21897",1,NA,NA
"22056",2021-02-25,337.72,"registered customer","21017","21020",1,NA,NA
"22056",2021-02-25,337.72,"registered customer","21017","21022",1,NA,NA
"22056",2021-02-25,337.72,"registered customer","21095","21106",1,NA,NA
"22056",2021-02-25,337.72,"registered customer","21095","21107",1,NA,NA
"22056",2021-02-25,337.72,"registered customer","21998","22009",1,NA,NA
"22055",2021-02-25,160.61,"registered customer","9841","9842",3,NA,NA
"22054",2021-02-24,40.02,"guest","1946","15021",1,NA,NA
"22054",2021-02-24,40.02,"guest","21000","21004",1,NA,NA
"22053",2021-02-24,56.97,"wholesale buyer","13654","21092",1,NA,NA
"22053",2021-02-24,56.97,"wholesale buyer","19708","19713",1,NA,NA
"22053",2021-02-24,56.97,"wholesale buyer","19708","19716",1,NA,NA
"22052",2021-02-23,67.05,"registered customer","20497","20503",2,NA,NA
"22052",2021-02-23,67.05,"registered customer","9226","9231",1,NA,NA
"22051",2021-02-23,26.19,"guest","16756","16757",1,NA,NA
"22046",2021-02-22,26.99,"registered customer","1946","21723",1,NA,NA
"22045",2021-02-22,65.97,"guest","21048","21052",1,NA,NA
"22045",2021-02-22,65.97,"guest","21048","21064",1,NA,NA
"22035",2021-02-22,223.47,"guest","1946","2267",10,NA,NA
"22035",2021-02-22,223.47,"guest","21429","21436",3,NA,NA
"21959",2021-02-21,135.45,"guest","11161","11162",1,"1signup",NA
"21959",2021-02-21,135.45,"guest","11161","11163",1,"1signup",NA
"21959",2021-02-21,135.45,"guest","11161","12660",1,"1signup",NA
"21959",2021-02-21,135.45,"guest","11161","12661",1,"1signup",NA
"21959",2021-02-21,135.45,"guest","11161","12676",1,"1signup",NA
"21959",2021-02-21,135.45,"guest","11161","19367",1,"1signup",NA
"21959",2021-02-21,135.45,"guest","18199","18200",1,"1signup",NA
"21959",2021-02-21,135.45,"guest","18199","18201",1,"1signup",NA
"21958",2021-02-20,97.03,"guest","19708","19709",2,NA,NA
"21958",2021-02-20,97.03,"guest","19708","19710",1,NA,NA
"21958",2021-02-20,97.03,"guest","19708","19712",1,NA,NA
"21958",2021-02-20,97.03,"guest","21048","21060",1,NA,NA
"21957",2021-02-19,87.56,"registered customer","13654","18568",2,NA,NA
"21957",2021-02-19,87.56,"registered customer","18281","20569",1,NA,NA
"21957",2021-02-19,87.56,"registered customer","18281","21192",1,NA,NA
"21943",2021-02-17,44.54,"registered customer","21048","21064",1,NA,NA
"21943",2021-02-17,44.54,"registered customer","21048","21070",1,NA,NA
"21942",2021-02-17,112.2,"guest","605","1882",2,NA,NA
"21942",2021-02-17,112.2,"guest","605","1883",2,NA,NA
"21942",2021-02-17,112.2,"guest","605","1884",1,NA,NA
"21942",2021-02-17,112.2,"guest","605","1885",1,NA,NA
"21941",2021-02-16,52.8,"registered customer","16047","19879",1,"1signup",NA
"21941",2021-02-16,52.8,"registered customer","16246","16254",1,"1signup",NA
"21941",2021-02-16,52.8,"registered customer","21429","21435",1,"1signup",NA
"21938",2021-02-15,30.51,"guest","20468","20475",1,NA,NA
