"product_id","variation_id","name","color","hue1","hue2","hue3","hue4","hue5","hue6"
"19107","20457","bulky merino wool","candy twist","pink","purple","","","",NA
"19107","20458","bulky merino wool","stone","gray","","","","",NA
"19175","19176","variegated rayon chenille","berry chill","purple","pink","","","",NA
"19175","19177","variegated rayon chenille","blue hawaiian","blue","","","","",NA
"19175","19178","variegated rayon chenille","mint mojito","green","","","","",NA
"19175","19179","variegated rayon chenille","sunset spritz","orange","yellow","brown","","",NA
"19175","19180","variegated rayon chenille","watermelon rose","red","pink","","","",NA
"19203","1111","wayfarer skein bundle",NA,"natural","","","","",NA
"19204","1111","worsted wool bundle",NA,"natural","","","","",NA
"19205","1111","duo tone skein",NA,"natural","","","","",NA
"19207","21415","5/2 spun rayon","natural","natural","","","","",NA
"19207","21807","5/2 spun rayon","cayenne","orange","","","","",NA
"19207","21808","5/2 spun rayon","deep lilac","purple","","","","",NA
"19207","21809","5/2 spun rayon","liquid blue","blue","","","","",NA
"19207","21810","5/2 spun rayon","red wine","red","","","","",NA
"19207","21907","5/2 spun rayon","blue jay","blue","","","","",NA
"19207","21908","5/2 spun rayon","dandelion","yellow","","","","",NA
"19207","21909","5/2 spun rayon","emerald","green","","","","",NA
"19207","9999","5/2 spun rayon","skein","natural","","","","",NA
"19216","1111","sterling wool bundle",NA,"natural","","","","",NA
"1946","14334","rayon chenille yarn 1300 ypp","golden peach","brown","pink","","","",NA
"1946","14816","rayon chenille yarn 1300 ypp","brick","red","","","","",NA
"1946","15014","rayon chenille yarn 1300 ypp","white","white","","","","",NA
"1946","15021","rayon chenille yarn 1300 ypp","navy","blue","","","","",NA
"1946","17534","rayon chenille yarn 1300 ypp","white","white","","","","",NA
"1946","18368","rayon chenille yarn 1300 ypp","hot pink","pink","","","","",NA
"1946","1947","rayon chenille yarn 1300 ypp","black","black","","","","",NA
"1946","21723","rayon chenille yarn 1300 ypp","red wine","red","","","","",NA
"1946","21724","rayon chenille yarn 1300 ypp","charcoal","gray","","","","",NA
"1946","21725","rayon chenille yarn 1300 ypp","deep lilac","purple","","","","",NA
"1946","21726","rayon chenille yarn 1300 ypp","cayenne","red","","","","",NA
"1946","21852","rayon chenille yarn 1300 ypp","blue jay","blue","","","","",NA
"1946","21854","rayon chenille yarn 1300 ypp","dandelion","yellow","","","","",NA
"1946","21855","rayon chenille yarn 1300 ypp","emerald green","green","","","","",NA
"1946","22124","rayon chenille yarn 1300 ypp","soft rose","pink","","","","",NA
"1946","2265","rayon chenille yarn 1300 ypp","silver","gray","","","","",NA
"1946","2267","rayon chenille yarn 1300 ypp","cream","brown","","","","",NA
"1946","3289","rayon chenille yarn 1300 ypp","soft rose","pink","","","","",NA
"1946","3631","rayon chenille yarn 1300 ypp","burgundy","red","","","","",NA
"1946","3633","rayon chenille yarn 1300 ypp","dark purple","purple","","","","",NA
"19543","1111","big finest rayon boucle",NA,"natural","","","","",NA
"19548","1111","big polyester tape yarn",NA,"white","","","","",NA
"19551","9999","big rayon boucle",NA,"black","natural","","","",NA
"1956","1111","4 pound yarn mystery box",NA,"not applicable","","","","",NA
"19708","19709","thick and thin cotton with linen","bright white","white","","","","",NA
"19708","19710","thick and thin cotton with linen","midnight navy","blue","","","","",NA
"19708","19711","thick and thin cotton with linen","lime","green","","","","",NA
"19708","19712","thick and thin cotton with linen","pewter","gray","blue","","","",NA
"19708","19713","thick and thin cotton with linen","sand dune","brown","","","","",NA
"19708","19714","thick and thin cotton with linen","scarlet","red","","","","",NA
"19708","19715","thick and thin cotton with linen","sea foam","blue","","","","",NA
"19708","19716","thick and thin cotton with linen","sunshine","yellow","","","","",NA
"19708","22270","thick and thin cotton with linen","coal","gray","","","","",NA
"19708","22514","thick and thin cotton with linen","natural","natural","","","","",NA
"19846","19854","fun mini accents","polka dot","black","white","","","",NA
"19846","19855","fun mini accents","jems","blue","purple","","","",NA
"19846","19856","fun mini accents","truffle","black","white","","","",NA
"1987","11442","wayfarer yarn","pink elephant","pink","","","","",NA
"1987","19420","wayfarer yarn","soft blue","blue","","","","",NA
"1987","19421","wayfarer yarn","bright red","red","","","","",NA
"1987","2005","wayfarer yarn","natural","natural","","","","",NA
"1987","2006","wayfarer yarn","sand dune","brown","","","","",NA
"1987","2007","wayfarer yarn","mud puddle","brown","","","","",NA
"1987","2008","wayfarer yarn","gravel","gray","","","","",NA
"1987","2009","wayfarer yarn","iron bridge","gray","","","","",NA
"1987","2010","wayfarer yarn","hiking trail","brown","","","","",NA
"1987","2011","wayfarer yarn","hot spring","blue","","","","",NA
"1987","2012","wayfarer yarn","harbor","blue","","","","",NA
"1987","2013","wayfarer yarn","pine forest","green","","","","",NA
"1987","2014","wayfarer yarn","meadow","green","","","","",NA
"1987","2015","wayfarer yarn","prairie","yellow","","","","",NA
"1987","2016","wayfarer yarn","camp fire","orange","","","","",NA
"1987","2017","wayfarer yarn","cranberry harvest","red","","","","",NA
"1987","2018","wayfarer yarn","coral reef","purple","","","","",NA
"1987","21164","wayfarer yarn","honey mustard","yellow","brown","","","",NA
"1987","2507","wayfarer yarn","bordeaux","purple","","","","",NA
"1987","3082","wayfarer yarn","briny deep","blue","","","","",NA
