"user_id","role"
1508,"customer"
1507,"customer"
1506,"wholesalebuyer"
1505,"wholesalebuyer"
1504,"customer"
1503,"wholesalebuyer"
1502,"customer"
1501,"customer"
1500,"customer"
1499,"customer"
1498,"wholesalebuyer"
1497,"customer"
1496,"wholesalebuyer"
1495,"wholesalebuyer"
1494,"wholesalebuyer"
1493,"customer"
1491,"wholesalebuyer"
1490,"wholesalebuyer"
1489,"customer"
1488,"wholesalebuyer"
1487,"customer"
1486,"wholesalebuyer"
1485,"customer"
1484,"customer"
1483,"wholesalebuyer"
1482,"wholesalebuyer"
1481,"wholesalebuyer"
1480,"customer"
1479,"customer"
1478,"customer"
1477,"customer"
1476,"customer"
1475,"wholesalebuyer"
1474,"customer"
1473,"customer"
1472,"customer"
1471,"customer"
1470,"wholesalebuyer"
1469,"customer"
1468,"wholesalebuyer"
1467,"customer"
1466,"customer"
1465,"wholesalebuyer"
1464,"customer"
1463,"customer"
1462,"wholesalebuyer"
1461,"wholesalebuyer"
1460,"wholesalebuyer"
1459,"customer"
1458,"customer"
1457,"customer"
1456,"wholesalebuyer"
1455,"customer"
1454,"wholesaletaxfree"
1453,"wholesalebuyer"
1452,"customer"
1451,"customer"
1450,"customer"
1449,"customer"
1448,"customer"
1447,"customer"
1446,"wholesalebuyer"
1445,"customer"
1444,"customer"
1443,"customer"
1442,"customer"
1441,"wholesalebuyer"
1440,"wholesalebuyer"
1439,"customer"
1438,"customer"
1437,"customer"
1436,"wholesalebuyer"
1435,"wholesalebuyer"
1434,"customer"
1433,"wholesalebuyer"
1432,"wholesalebuyer"
1431,"customer"
1430,"customer"
1429,"customer"
1428,"customer"
1427,"customer"
1426,"customer"
1425,"customer"
1424,"customer"
1423,"wholesalebuyer"
1422,"customer"
1421,"wholesalebuyer"
1420,"customer"
1419,"customer"
1418,"customer"
1417,"customer"
1416,"customer"
1415,"customer"
1414,"customer"
1413,"customer"
1412,"wholesalebuyer"
1411,"customer"
1410,"customer"
1409,"customer"
1408,"customer"
1407,"customer"
1406,"customer"
1405,"customer"
1404,"wholesalebuyer"
1403,"customer"
1402,"customer"
1401,"customer"
1400,"customer"
1399,"customer"
1398,"customer"
1397,"wholesalebuyer"
1396,"customer"
1395,"wholesalebuyer"
1394,"administrator"
1393,"wholesalebuyer"
1392,"customer"
1391,"customer"
1390,"customer"
1389,"wholesalebuyer"
1387,"wholesalebuyer"
1386,"customer"
1384,"customer"
1383,"wholesalebuyer"
1382,"customer"
1381,"customer"
1380,"wholesalebuyer"
1378,"wholesalebuyer"
1377,"customer"
1376,"wholesalebuyer"
1375,"wholesalebuyer"
1374,"wholesalebuyer"
1373,"wholesalebuyer"
1372,"wholesalebuyer"
1371,"customer"
1370,"customer"
1369,"wholesalebuyer"
1368,"wholesalebuyer"
1367,"customer"
1366,"customer"
1365,"customer"
1364,"customer"
1363,"customer"
1362,"wholesalebuyer"
1361,"wholesalebuyer"
1360,"customer"
1359,"customer"
1358,"wholesalebuyer"
1357,"wholesalebuyer"
1356,"customer"
1355,"customer"
1354,"customer"
1353,"customer"
1352,"customer"
1351,"wholesalebuyer"
1350,"wholesalebuyer"
1349,"wholesalebuyer"
1348,"customer"
1347,"wholesalebuyer"
1346,"wholesalebuyer"
1345,"customer"
1344,"wholesalebuyer"
1343,"customer"
1342,"customer"
1341,"customer"
1340,"wholesalebuyer"
1339,"customer"
1338,"customer"
1337,"wholesalebuyer"
1336,"wholesalebuyer"
1335,"customer"
1334,"customer"
1333,"customer"
1332,"wholesalebuyer"
1331,"customer"
1330,"wholesalebuyer"
1329,"customer"
1328,"customer"
1327,"customer"
1326,"customer"
1325,"customer"
1324,"customer"
1323,"wholesalebuyer"
1322,"wholesalebuyer"
1321,"customer"
1320,"customer"
1319,"customer"
